x,y,inside,u,v,p,speed,continuity_abs
0.000000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00,9.845864959061145782e-03,-2.867008745670318604e-02,-3.474009409546852112e-02,3.031361103057861328e-02,3.244018554687500000e-02
4.773269689737470386e-03,-5.000000000000000000e-01,1.000000000000000000e+00,9.469044394791126251e-03,-2.950896322727203369e-02,-3.443175926804542542e-02,3.099099360406398773e-02,3.227616474032402039e-02
9.546539379474940773e-03,-5.000000000000000000e-01,1.000000000000000000e+00,9.097290225327014923e-03,-3.034098446369171143e-02,-3.411816433072090149e-02,3.167548030614852905e-02,3.210655599832534790e-02
1.431980906921241116e-02,-5.000000000000000000e-01,1.000000000000000000e+00,8.729350753128528595e-03,-3.116549551486968994e-02,-3.379924967885017395e-02,3.236494585871696472e-02,3.193192929029464722e-02
1.909307875894988155e-02,-5.000000000000000000e-01,1.000000000000000000e+00,8.367073722183704376e-03,-3.198356926441192627e-02,-3.347497060894966125e-02,3.305989503860473633e-02,3.175283595919609070e-02
2.386634844868735367e-02,-5.000000000000000000e-01,1.000000000000000000e+00,8.009267039597034454e-03,-3.279377520084381104e-02,-3.314592316746711731e-02,3.375766798853874207e-02,3.156941756606101990e-02
2.863961813842482232e-02,-5.000000000000000000e-01,1.000000000000000000e+00,7.655692286789417267e-03,-3.359682857990264893e-02,-3.281192854046821594e-02,3.445804119110107422e-02,3.138100355863571167e-02
3.341288782816229097e-02,-5.000000000000000000e-01,1.000000000000000000e+00,7.307005114853382111e-03,-3.439237177371978760e-02,-3.247312083840370178e-02,3.516002744436264038e-02,3.118965774774551392e-02
3.818615751789976309e-02,-5.000000000000000000e-01,1.000000000000000000e+00,6.964039988815784454e-03,-3.518022596836090088e-02,-3.212932124733924866e-02,3.586287796497344971e-02,3.099465370178222656e-02
4.295942720763723521e-02,-5.000000000000000000e-01,1.000000000000000000e+00,6.625843234360218048e-03,-3.596074879169464111e-02,-3.178094699978828430e-02,3.656606748700141907e-02,3.079616278409957886e-02
4.773269689737470733e-02,-5.000000000000000000e-01,1.000000000000000000e+00,6.293070502579212189e-03,-3.673394024372100830e-02,-3.142801299691200256e-02,3.726908937096595764e-02,3.059566020965576172e-02
5.250596658711217252e-02,-5.000000000000000000e-01,1.000000000000000000e+00,5.965006537735462189e-03,-3.749878704547882080e-02,-3.107110038399696350e-02,3.797025606036186218e-02,3.039191663265228271e-02
5.727923627684964464e-02,-5.000000000000000000e-01,1.000000000000000000e+00,5.642485804855823517e-03,-3.825618326663970947e-02,-3.070921078324317932e-02,3.867005556821823120e-02,3.018691390752792358e-02
6.205250596658711676e-02,-5.000000000000000000e-01,1.000000000000000000e+00,5.325687117874622345e-03,-3.900595009326934814e-02,-3.034346178174018860e-02,3.936784341931343079e-02,2.997978031635284424e-02
6.682577565632458194e-02,-5.000000000000000000e-01,1.000000000000000000e+00,5.013716407120227814e-03,-3.974784910678863525e-02,-2.997349575161933899e-02,4.006281122565269470e-02,2.977137267589569092e-02
7.159904534606205406e-02,-5.000000000000000000e-01,1.000000000000000000e+00,4.707527346909046173e-03,-4.048110544681549072e-02,-2.959972992539405823e-02,4.075390473008155823e-02,2.956124395132064819e-02
7.637231503579952618e-02,-5.000000000000000000e-01,1.000000000000000000e+00,4.407119937241077423e-03,-4.120679199695587158e-02,-2.922192588448524475e-02,4.144179448485374451e-02,2.935217693448066711e-02
8.114558472553699831e-02,-5.000000000000000000e-01,1.000000000000000000e+00,4.111540503799915314e-03,-4.192467033863067627e-02,-2.884060516953468323e-02,4.212579876184463501e-02,2.914148569107055664e-02
8.591885441527447043e-02,-5.000000000000000000e-01,1.000000000000000000e+00,3.822338767349720001e-03,-4.263378679752349854e-02,-2.845552936196327209e-02,4.280478879809379578e-02,2.893139049410820007e-02
9.069212410501194255e-02,-5.000000000000000000e-01,1.000000000000000000e+00,3.538739867508411407e-03,-4.333527386188507080e-02,-2.806693688035011292e-02,4.347952082753181458e-02,2.872069180011749268e-02
9.546539379474941467e-02,-5.000000000000000000e-01,1.000000000000000000e+00,3.260386176407337189e-03,-4.402811825275421143e-02,-2.767491713166236877e-02,4.414867237210273743e-02,2.851128205657005310e-02
1.002386634844868729e-01,-5.000000000000000000e-01,1.000000000000000000e+00,2.988231368362903595e-03,-4.471273720264434814e-02,-2.727976813912391663e-02,4.481248185038566589e-02,2.830347046256065369e-02
1.050119331742243450e-01,-5.000000000000000000e-01,1.000000000000000000e+00,2.722275443375110626e-03,-4.538901150226593018e-02,-2.688157930970191956e-02,4.547057300806045532e-02,2.809580788016319275e-02
1.097852028639618172e-01,-5.000000000000000000e-01,1.000000000000000000e+00,2.462101168930530548e-03,-4.605688154697418213e-02,-2.648041024804115295e-02,4.612264409661293030e-02,2.789073437452316284e-02
1.145584725536992893e-01,-5.000000000000000000e-01,1.000000000000000000e+00,2.207172103226184845e-03,-4.671598970890045166e-02,-2.607666328549385071e-02,4.676810279488563538e-02,2.768748998641967773e-02
1.193317422434367614e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.958739943802356720e-03,-4.736669361591339111e-02,-2.566980198025703430e-02,4.740717262029647827e-02,2.748673781752586365e-02
1.241050119331742335e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.716149039566516876e-03,-4.800893366336822510e-02,-2.526051178574562073e-02,4.803959652781486511e-02,2.728790417313575745e-02
1.288782816229117056e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.479518599808216095e-03,-4.864223301410675049e-02,-2.484888210892677307e-02,4.866473004221916199e-02,2.709266170859336853e-02
1.336515513126491639e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.248729415237903595e-03,-4.926688969135284424e-02,-2.443503215909004211e-02,4.928271099925041199e-02,2.690031751990318298e-02
1.384248210023866499e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.023960299789905548e-03,-4.988218843936920166e-02,-2.401899173855781555e-02,4.989269748330116272e-02,2.671161293983459473e-02
1.431980906921241081e-01,-5.000000000000000000e-01,1.000000000000000000e+00,8.058669045567512512e-04,-5.048944056034088135e-02,-2.360116317868232727e-02,5.049587041139602661e-02,2.652680128812789917e-02
